INFO 2023-10-31 08:17:25,369 autoreload Watching for file changes with StatReloader
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1698461229.869878
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\forms\forms.py first seen with mtime 1698461229.9171994
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1698461229.6515257
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\asgiref\local.py first seen with mtime 1698461224.6231785
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1698461223.8852062
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Python311\Lib\email\message.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,763 autoreload File C:\Python311\DLLs\_decimal.pyd first seen with mtime 1666607688.0
DEBUG 2023-10-31 08:17:25,778 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\views\generic\list.py first seen with mtime 1698461230.1941524
DEBUG 2023-10-31 08:17:25,778 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1698461225.425694
DEBUG 2023-10-31 08:17:25,778 autoreload File C:\Python311\Lib\difflib.py first seen with mtime 1666607648.0
DEBUG 2023-10-31 08:17:25,778 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1698461229.681679
DEBUG 2023-10-31 08:17:25,778 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\contrib\auth\models.py first seen with mtime 1698461226.49397
DEBUG 2023-10-31 08:17:25,778 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1698461226.7934566
DEBUG 2023-10-31 08:17:25,778 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1698461229.697294
DEBUG 2023-10-31 08:17:25,778 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\test\html.py first seen with mtime 1698461230.0745895
DEBUG 2023-10-31 08:17:25,778 autoreload File C:\Users\maxma\Documents\Learning\Projects\rocket_lab\command_center\api\rocket_service\venv\Lib\site-packages\django\utils\itercompat.py first seen with mtime 1698461230.1265006
